datetime,fr_pr,uc_pr,hm_pr,fruchm_avg_pr
12/03/2007,30.3,16.4,6.6,17.8
13/03/2007,1.6,1,0,0.9
14/03/2007,5.5,3.2,0,2.9
15/03/2007,0,0,0,0
16/03/2007,0,0,0,0
17/03/2007,0,0,0,0
18/03/2007,1.7,1.1,0.8,1.2
19/03/2007,2.3,1.1,0,1.1
20/03/2007,33.2,21,14.9,23
21/03/2007,1.6,0.8,0,0.8
22/03/2007,0.5,0.1,0,0.2
23/03/2007,0.3,0.1,0,0.1
24/03/2007,6.2,3.2,0,3.1
25/03/2007,32.8,18.2,12,21
26/03/2007,0.3,0.2,0.2,0.2
27/03/2007,0.1,0.1,0,0.1
28/03/2007,0.7,0.4,0,0.4
29/03/2007,0,0,0,0
30/03/2007,0,0,0.4,0.1
31/03/2007,3.5,2.3,0.8,2.2
01/04/2007,15.5,9.5,8.8,11.3
02/04/2007,5.8,3.7,2.9,4.1
03/04/2007,1.7,1.1,0,0.9
04/04/2007,0,0,0,0
05/04/2007,0.3,0.2,0,0.2
06/04/2007,0.1,0.1,0,0.1
07/04/2007,0.2,0.1,0,0.1
08/04/2007,0,0,0,0
09/04/2007,0.4,0.2,0,0.2
10/04/2007,4.9,2.7,0,2.5
11/04/2007,2.3,1.5,0,1.3
12/04/2007,0,0,0,0
13/04/2007,0,0,0,0
14/04/2007,0.4,0.2,0,0.2
15/04/2007,0.1,0.1,0,0.1
16/04/2007,0,0,0,0
17/04/2007,0.3,0.2,0,0.2
18/04/2007,14.5,9,1.2,8.2
19/04/2007,13.6,8.9,5,9.2
20/04/2007,15.1,9.9,4.4,9.8
21/04/2007,0.2,0.1,0.3,0.2
22/04/2007,0.1,0.1,0,0.1
23/04/2007,0,0,0,0
24/04/2007,4.7,3.1,3.2,3.7
25/04/2007,0,0,0.9,0.3
26/04/2007,0,0,0.2,0.1
27/04/2007,1.8,1.1,1.9,1.6
28/04/2007,13.9,8.4,7.5,9.9
29/04/2007,15.8,10.2,9,11.7
30/04/2007,0.1,0.1,0.1,0.1
01/05/2007,0.6,0.4,0.1,0.4
02/05/2007,7.8,5.3,4.7,5.9
03/05/2007,23.7,15,14.1,17.6
04/05/2007,1.9,1.1,0,1
05/05/2007,0,0,0,0
06/05/2007,0,0,0,0
07/05/2007,0,0,0,0
08/05/2007,18.9,12.2,5.3,12.1
09/05/2007,10.3,5.6,6,7.3
10/05/2007,0,0,0.2,0.1
11/05/2007,0,0,0.8,0.3
12/05/2007,0,0,0.2,0.1
13/05/2007,15.1,10.2,6.2,10.5
14/05/2007,0.1,0.1,0.1,0.1
15/05/2007,0,0,0.6,0.2
16/05/2007,0,0,0.2,0.1
17/05/2007,0,0,0.1,0
18/05/2007,0,0,2.3,0.8
19/05/2007,7.6,3.9,3.2,4.9
20/05/2007,4.6,2.5,7.2,4.8
21/05/2007,30.4,18.6,26.3,25.1
22/05/2007,0.6,0.4,0.8,0.6
23/05/2007,16.7,11.1,6.6,11.5
